checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker
1,18,2,2,8471,4,0,1,0,2,2,0,23,1,2,2,1,1,1,1
3,24,3,6,3235,1,3,3,1,2,2,0,26,1,1,1,0,1,1,1
1,40,1,2,5998,2,0,4,3,2,3,2,27,0,1,1,1,1,1,1
2,12,3,6,1297,2,0,3,2,2,4,3,23,1,2,1,1,1,0,1
3,27,3,4,2570,2,0,3,0,2,3,3,21,1,2,1,1,1,0,1
3,15,3,6,1213,1,3,4,3,2,3,1,47,2,1,1,1,1,1,1
3,9,3,4,3577,0,0,1,3,1,2,3,26,1,2,1,1,2,0,0
0,12,3,6,1103,2,1,4,3,1,3,3,29,1,1,2,1,1,0,0
3,10,3,8,894,4,1,4,0,2,3,1,40,1,1,1,1,1,1,1
0,36,3,4,12389,4,0,1,3,2,4,2,37,1,0,1,1,1,1,1
2,24,1,3,3617,4,3,4,3,0,4,2,20,1,2,2,1,1,0,1
0,24,3,6,2039,2,2,1,2,2,1,1,22,1,1,1,1,1,1,1
0,24,3,6,5084,4,3,2,0,2,4,0,42,1,1,1,1,1,1,1
0,24,2,0,6967,0,1,4,3,2,4,0,36,1,2,1,0,1,1,1
3,24,3,4,1474,0,2,4,2,2,3,3,33,1,1,1,1,1,1,1
0,48,0,0,6416,2,3,4,0,2,3,2,59,1,2,1,1,1,0,1
3,9,3,3,1388,2,0,4,0,2,2,3,26,1,2,1,1,1,0,1
3,12,3,6,1493,2,2,4,0,2,3,0,34,1,1,1,1,2,0,1
0,24,2,0,4712,4,0,4,3,2,2,1,37,0,1,2,0,1,1,1
1,24,1,0,1382,0,1,4,3,2,1,3,26,1,1,2,1,1,1,1
0,18,3,0,2622,0,0,4,3,2,4,0,34,1,1,1,1,1,0,1
1,36,3,5,15857,2,4,2,1,0,3,0,43,1,1,1,0,1,0,1
3,36,1,9,10477,4,3,2,3,2,4,2,42,1,0,2,1,1,0,1
2,6,1,4,1299,2,0,1,3,2,1,3,74,1,1,3,2,2,0,0
0,36,3,6,2671,0,0,4,0,0,4,2,50,1,0,1,1,1,0,1
1,36,3,3,3620,2,0,1,3,1,2,1,37,1,1,1,1,2,0,1
1,18,3,3,2659,3,0,4,3,2,2,0,28,1,1,1,1,1,0,1
3,15,3,9,3812,0,2,1,0,2,4,0,23,1,1,1,1,1,1,1
1,18,3,6,2600,2,0,4,3,2,4,2,65,1,0,2,1,1,0,1
1,36,3,4,9271,2,1,2,3,2,1,0,24,1,1,1,1,1,1,1
0,9,0,9,5129,2,3,2,0,2,4,2,74,0,0,1,0,2,1,1
0,15,1,6,1537,4,3,4,3,1,4,3,50,1,1,2,1,1,1,1
1,36,3,9,8229,2,0,2,3,2,2,1,26,1,1,1,1,2,0,1
2,15,3,2,392,2,2,4,0,2,4,1,23,1,2,1,1,1,1,1
3,18,3,4,6761,4,0,2,3,2,4,0,68,1,2,2,1,1,0,1
1,30,3,6,2522,2,3,1,3,1,3,1,39,1,1,1,1,2,0,1
3,18,2,6,2320,2,4,2,2,2,3,3,34,1,1,2,1,1,0,1
1,24,2,4,1333,2,4,4,3,2,2,3,43,1,0,2,1,2,0,1
3,12,3,6,804,2,3,4,3,2,4,0,38,1,1,1,1,1,0,1
3,33,2,0,2764,2,0,2,0,2,2,0,26,1,1,2,1,1,1,1
1,10,1,4,2241,2,2,1,3,2,3,3,48,1,2,2,3,2,0,0
0,10,3,3,1521,2,0,4,1,2,2,0,31,1,1,1,3,1,0,1
0,21,3,0,2767,0,3,4,1,2,2,0,61,0,2,2,3,1,0,1
1,36,3,3,3959,2,4,4,3,2,3,1,30,1,1,1,0,1,1,1
3,10,1,3,2146,2,2,1,0,2,3,3,23,1,2,2,1,1,0,1
3,24,1,3,2028,2,1,2,3,2,2,1,30,1,1,2,3,1,0,1
1,24,3,6,3660,2,0,2,0,2,4,0,28,1,1,1,1,1,0,1
3,28,1,6,2743,2,3,4,3,2,2,0,29,1,1,2,1,1,0,1
3,12,3,3,1574,2,0,4,3,2,2,3,50,1,1,1,1,1,0,1
0,15,3,4,2631,0,0,2,0,2,4,0,28,1,2,2,1,1,1,1
0,54,4,0,15945,2,2,3,3,2,4,2,58,1,2,1,1,1,1,1
0,14,3,0,1410,1,3,1,2,2,2,3,35,1,1,1,1,1,1,1
3,12,3,9,1413,3,1,3,3,2,2,1,55,1,1,1,1,1,0,0
0,21,2,4,2353,2,0,1,1,2,4,1,47,1,1,2,1,1,0,1
0,20,2,9,7057,4,1,3,3,2,4,1,36,0,2,2,0,2,1,1
1,18,3,6,1882,2,0,4,0,2,4,0,25,0,2,2,1,1,0,1
3,6,1,4,362,0,0,4,0,2,4,0,52,1,1,2,3,1,0,1
0,21,3,0,1188,2,3,2,0,2,4,1,39,1,1,1,1,2,0,1
1,30,3,3,3622,3,3,4,0,2,4,1,57,1,2,2,1,1,1,1
3,21,2,9,2993,2,0,3,3,2,2,3,28,2,1,2,3,1,0,1
3,15,3,3,2708,2,2,2,3,2,3,1,27,0,1,2,3,1,0,1
3,15,3,2,4623,0,0,3,3,2,2,1,40,1,1,1,0,1,1,1
0,48,3,4,6560,0,1,3,3,2,2,1,24,1,1,1,1,1,0,1
1,42,1,7,3394,2,4,4,3,0,4,0,65,1,1,2,2,1,0,1
1,14,3,4,3973,2,4,1,3,2,4,2,22,1,0,1,1,1,0,1
1,48,3,2,7476,2,1,4,3,2,1,2,50,1,0,1,0,1,1,1
0,12,4,3,2969,2,2,4,0,2,3,1,25,1,2,2,1,1,0,1
3,18,3,3,2515,2,0,3,3,2,4,3,43,1,1,1,1,1,1,1
1,18,0,3,1553,2,0,4,3,2,3,0,44,0,1,1,1,1,0,1
3,15,3,3,2186,4,1,1,0,2,4,3,33,0,2,1,3,1,0,1
3,12,3,4,2859,4,4,4,3,2,4,2,38,1,1,1,0,1,1,1
1,24,3,5,1755,2,3,4,0,1,4,3,58,1,1,1,3,1,1,1
3,24,3,3,3062,1,3,4,3,2,3,2,32,1,2,1,1,1,1,1
1,21,3,6,3357,3,2,4,0,2,2,0,29,0,1,1,1,1,0,1
1,6,1,4,860,2,3,1,0,2,4,2,39,1,1,2,1,1,1,1
3,12,1,2,3565,4,2,2,3,2,1,1,37,1,1,2,3,2,0,1
0,12,3,4,6078,2,1,2,3,2,2,0,32,1,1,1,1,1,0,1
2,12,3,3,1474,2,2,4,0,2,1,1,33,0,1,1,0,1,1,1
3,24,1,9,2197,4,1,4,3,2,4,0,43,1,1,2,1,2,1,1
0,9,1,2,1501,2,3,2,0,2,3,0,34,1,1,2,0,1,1,1
0,15,2,7,1512,3,0,3,2,2,3,1,61,2,1,2,1,1,0,1
2,36,3,6,4473,2,3,4,3,2,2,0,31,1,1,1,1,1,0,1
3,21,3,9,5248,4,0,1,3,2,3,0,26,1,1,1,1,1,0,1
0,9,3,6,458,2,0,4,3,2,3,3,24,1,1,1,1,1,0,1
2,12,3,6,1881,2,0,2,0,2,2,0,44,1,2,1,3,1,1,1
0,15,0,4,6850,0,4,1,3,2,2,1,34,1,1,1,0,2,1,1
3,12,3,2,1393,2,3,4,3,2,4,1,47,0,1,3,1,2,1,1
3,18,1,6,1169,4,0,4,3,2,3,1,29,1,1,2,1,1,1,1
2,12,3,3,2251,2,0,1,0,2,2,0,46,1,1,1,3,1,0,1
3,18,1,3,1817,2,0,4,0,2,2,2,28,1,1,2,1,1,0,1
3,36,1,4,7855,2,0,4,0,2,2,3,25,2,1,2,1,1,1,1
1,24,3,3,2359,0,4,1,1,2,1,1,33,1,1,1,1,1,0,1
1,18,1,3,1049,2,2,4,0,2,4,1,21,1,2,1,1,1,0,1
3,21,3,0,1572,3,3,4,0,2,4,3,36,0,1,1,3,1,0,1
1,24,1,9,6419,2,3,2,0,2,4,2,44,1,0,2,0,2,1,1
3,24,3,6,3181,2,2,4,0,2,4,1,26,1,1,1,1,1,1,1
3,24,1,6,2578,3,3,2,3,2,2,0,34,1,1,1,1,1,0,1
3,7,2,6,846,4,3,3,3,2,4,2,36,1,0,1,1,1,0,1
0,48,3,0,15672,2,0,2,3,2,2,0,23,1,1,1,1,1,1,1
1,18,3,3,2462,2,0,2,3,2,2,0,22,1,1,1,1,1,0,1
3,24,1,9,6842,4,0,2,3,2,4,1,46,1,1,2,0,2,1,1
3,24,1,4,1287,3,3,4,0,2,4,3,37,1,1,2,1,1,1,1
0,6,3,6,1068,2,3,4,3,2,4,0,28,1,1,1,1,2,0,1
1,24,3,4,1285,4,1,4,0,2,4,2,32,1,2,1,1,1,0,1
0,36,3,6,4795,2,2,4,0,2,1,2,30,1,1,1,0,1,1,1
2,24,3,6,1258,1,0,3,0,2,3,0,57,1,1,1,3,1,0,1
1,30,4,0,8072,4,2,2,3,2,3,0,25,0,1,3,1,1,0,1
1,24,3,3,4169,2,0,4,3,2,4,1,28,1,1,1,1,1,0,1
3,24,3,6,1278,2,3,4,3,2,1,3,36,1,1,1,0,1,1,1
2,24,3,3,1925,2,0,2,3,2,2,3,26,1,1,1,1,1,0,1
1,33,1,3,4281,1,0,1,0,2,4,0,23,1,1,2,1,1,0,1
1,15,3,4,1403,2,0,2,0,2,4,0,28,1,2,1,1,1,0,1
1,6,1,6,1169,4,3,4,3,2,4,3,67,1,1,2,1,1,1,1
3,39,3,9,2569,1,0,4,3,2,4,0,24,1,1,1,1,1,0,1
3,15,1,6,1459,2,0,4,0,2,2,0,43,1,1,1,3,1,0,1
3,9,3,2,3832,4,3,1,3,2,4,3,64,1,1,1,3,1,0,1
0,60,3,4,14027,2,1,4,3,2,2,2,27,1,1,1,0,1,1,1
3,6,3,6,1346,0,3,2,3,2,4,2,42,0,0,1,1,2,1,1
3,12,1,6,976,4,3,4,3,2,4,0,35,1,1,2,1,1,0,1
1,24,3,4,915,4,3,4,0,2,2,0,29,0,1,1,1,1,0,1
3,18,3,6,433,2,4,3,0,0,4,3,22,1,2,1,1,1,0,1
0,12,3,4,836,0,2,4,0,2,2,1,23,0,1,1,3,1,0,1
0,9,1,2,1136,3,3,4,3,2,3,2,32,1,0,2,1,2,0,1
3,24,2,4,2032,2,3,4,3,2,4,2,60,1,0,2,1,1,1,1
0,27,2,9,5965,2,3,1,3,2,2,0,30,1,1,2,0,1,1,1
1,24,3,4,1207,2,2,4,0,2,4,1,24,1,2,1,1,1,0,1
3,15,3,4,3556,4,0,3,3,2,2,2,29,1,1,1,1,1,0,1
3,27,1,3,4526,3,2,4,3,2,2,3,32,2,1,2,3,2,1,1
0,24,3,9,11560,2,0,1,0,2,4,0,23,1,2,2,0,1,0,1
0,9,1,6,1154,2,3,2,3,2,4,3,37,1,1,3,3,1,0,1
2,24,1,0,1275,3,0,2,1,2,4,3,36,1,1,2,1,1,1,1
1,15,3,1,1275,4,0,4,0,2,2,0,24,1,2,1,1,1,0,1
2,24,1,6,3148,4,0,3,3,2,2,0,31,1,1,2,1,1,1,1
3,24,2,9,4679,2,1,3,3,2,3,0,35,1,1,2,3,1,1,1
2,24,3,6,5152,2,1,4,3,2,2,0,25,0,1,1,1,1,0,1
0,39,1,6,4933,2,1,2,3,1,2,3,25,1,1,2,1,1,0,1
3,15,3,6,1386,4,0,4,2,2,2,3,40,1,2,1,1,1,1,1
3,9,3,3,1313,2,3,1,3,2,4,0,20,1,1,1,1,1,0,1
3,12,0,8,3447,1,0,4,0,2,3,3,35,1,1,1,3,2,0,1
0,9,3,6,1670,2,2,4,0,2,2,0,22,1,1,1,1,1,1,1
1,24,2,6,1659,2,2,4,0,2,2,0,29,1,2,1,3,1,1,1
3,30,1,6,5771,2,1,4,0,2,2,0,25,1,1,2,1,1,0,1
1,24,3,4,4817,2,1,2,3,0,3,1,31,1,1,1,1,1,1,1
2,36,3,6,4210,2,0,4,3,2,2,0,26,1,1,1,1,1,0,1
3,10,3,4,1309,4,0,4,3,1,4,1,27,1,1,1,3,1,0,1
2,18,3,3,3049,2,2,1,0,2,1,1,45,2,1,1,3,1,0,1
1,12,3,3,1657,2,0,2,3,2,2,3,27,1,1,1,1,1,0,1
1,36,3,6,2302,2,0,4,1,2,4,0,31,1,2,1,1,1,0,1
3,12,1,2,701,2,0,4,3,2,2,0,32,1,1,2,1,1,0,1
1,12,3,6,2214,2,0,4,3,2,3,1,24,1,1,1,3,1,0,1
3,36,3,0,7409,4,3,3,3,2,2,1,37,1,1,2,1,1,0,1
3,15,3,9,3029,2,1,2,3,2,2,0,33,1,1,1,1,1,0,1
0,12,3,6,1534,2,2,1,2,2,1,3,23,1,2,1,1,1,0,1
3,24,1,5,6314,2,4,4,3,0,2,2,27,0,1,2,0,1,1,1
0,12,3,6,1092,2,0,4,0,1,4,3,49,1,1,2,1,1,1,1
0,12,3,8,754,4,3,4,3,2,4,1,38,1,1,2,1,1,0,1
3,30,1,6,6742,4,1,2,3,2,3,1,36,1,1,2,1,1,0,1
3,4,1,4,3380,2,1,1,0,2,1,3,37,1,1,1,1,2,0,1
1,15,3,3,1845,2,2,4,0,1,1,1,46,1,2,1,1,1,0,1
0,48,2,5,7582,0,4,2,3,2,4,2,31,1,0,1,0,1,1,1
1,12,2,4,1344,2,0,4,3,2,2,3,43,1,1,2,3,2,0,1
3,48,1,9,11590,0,0,2,0,2,4,0,24,0,2,2,3,1,0,1
1,36,2,0,2145,2,1,2,3,2,1,0,24,1,1,2,1,1,1,1
0,9,3,3,959,2,0,1,0,2,2,0,29,1,1,1,1,1,0,0
0,12,1,4,3124,2,2,1,3,2,3,3,49,0,1,2,3,2,0,1
3,21,2,3,1591,0,1,4,3,2,3,3,34,1,1,2,0,1,0,1
1,9,3,6,1366,2,2,3,0,2,4,1,22,1,2,1,1,1,0,1
0,36,3,2,2273,2,1,3,3,2,1,0,32,1,1,2,1,2,0,1
0,13,3,6,2101,2,2,2,0,1,4,1,23,1,1,1,3,1,0,1
0,12,3,4,7472,4,4,1,0,2,2,3,24,1,2,1,2,1,0,1
1,15,3,4,1721,2,2,2,3,2,3,3,36,1,1,1,1,1,0,1
1,18,1,4,3966,2,3,1,0,2,4,3,33,0,2,3,1,1,1,1
3,6,3,4,3518,2,0,2,3,1,3,1,26,1,2,1,1,1,0,1
3,36,1,4,3535,2,1,4,3,2,4,0,37,1,1,2,1,1,1,1
3,24,3,6,3105,4,2,4,3,2,2,0,25,1,1,2,1,1,0,1
1,21,1,4,1602,2,3,4,2,2,3,0,30,1,1,2,1,1,1,1
3,30,1,6,5954,2,1,3,3,0,2,0,38,1,1,1,1,1,0,1
2,6,2,6,683,2,2,2,0,2,1,1,29,0,1,1,1,1,0,1
0,18,3,6,1113,2,0,4,0,1,4,3,26,1,1,1,3,2,0,1
1,21,3,6,2606,2,2,4,0,2,4,1,28,1,2,1,0,1,1,1
0,36,2,4,2225,2,3,4,3,2,4,2,57,0,0,2,1,1,1,1
0,36,0,1,3990,4,2,3,0,2,2,2,29,0,1,1,2,1,0,1
1,6,3,4,1374,4,4,4,0,2,3,1,75,1,1,1,0,1,1,1
2,6,1,4,1323,0,3,2,1,2,4,0,28,1,1,2,1,2,1,1
3,6,0,6,1750,1,3,2,3,2,4,1,45,0,1,1,3,2,0,1
0,24,1,0,2825,4,1,4,3,2,3,2,34,1,1,2,1,2,1,1
0,12,3,6,1158,1,0,3,1,2,1,0,26,1,1,1,1,1,1,1
3,6,3,9,1236,1,0,2,3,2,4,1,50,1,2,1,1,1,0,1
0,18,1,6,1795,2,3,3,0,1,4,3,48,0,2,2,3,1,1,1
0,11,1,4,1322,3,0,4,0,2,4,0,40,1,1,2,1,1,0,1
1,48,3,4,7763,2,3,4,3,2,4,2,42,0,0,1,0,1,0,1
1,6,1,6,338,1,3,4,3,2,4,0,52,1,1,2,1,1,0,1
1,30,3,9,3857,2,0,4,1,2,4,1,40,1,1,1,0,1,1,1
0,15,3,7,2631,0,0,3,0,2,2,3,25,1,1,1,3,1,0,1
3,36,1,0,6304,4,3,4,3,2,4,3,36,1,1,2,1,1,0,1
1,24,0,3,3349,1,2,4,3,2,4,2,30,1,0,1,1,2,1,1
1,12,1,4,3499,2,0,3,0,0,2,3,29,1,1,2,1,1,0,1
2,10,1,4,781,2,3,4,3,2,4,2,63,1,0,2,1,1,1,1
3,15,3,3,2221,1,0,2,0,2,4,0,20,1,2,1,1,1,0,1
3,6,3,3,1766,2,0,1,2,2,2,1,21,1,2,1,1,1,0,1
0,18,3,3,3001,2,1,2,0,2,4,3,40,1,2,1,1,1,0,1
3,18,1,3,3780,2,2,3,1,2,2,0,35,1,1,2,0,1,1,1
1,36,2,2,6887,2,0,4,3,2,3,1,29,2,1,1,1,1,1,1
1,18,3,3,2473,2,4,4,3,2,1,0,25,1,1,1,2,1,0,1
0,6,3,6,368,4,3,4,3,2,4,1,38,1,1,1,1,1,0,1
3,18,2,0,2169,2,0,4,2,2,2,0,28,1,1,1,1,1,1,1
3,36,3,3,10974,2,4,4,0,2,2,0,26,1,1,2,0,1,1,1
3,24,1,6,2424,4,3,4,3,2,4,1,53,1,1,2,1,1,0,1
3,15,1,6,1316,1,0,2,2,2,2,1,47,1,1,2,3,1,0,1
1,36,1,9,9629,2,1,4,3,2,4,0,24,1,1,2,1,1,1,1
3,60,3,6,10144,0,1,2,0,2,4,3,21,1,1,1,1,1,1,1
0,6,2,3,1050,2,4,4,3,2,1,1,35,2,1,2,0,1,1,1
0,9,0,4,1437,0,1,2,3,2,3,2,29,1,1,1,1,1,0,1
1,18,1,3,2124,2,0,4,0,2,4,3,24,1,2,2,1,1,0,1
3,24,3,9,6313,4,3,3,3,2,4,0,41,1,1,1,0,2,1,1
0,36,3,9,6948,2,0,2,3,2,2,0,35,1,2,1,0,1,1,1
1,21,0,4,1647,4,0,4,3,2,2,1,40,1,1,2,3,2,0,1
1,24,0,9,3632,2,0,1,0,1,4,0,22,0,2,1,1,1,0,0
3,15,3,1,1262,1,1,4,3,2,3,1,36,1,1,2,1,1,1,1
0,24,3,9,12579,2,3,4,0,2,2,2,44,1,0,1,0,1,1,1
3,12,1,7,996,4,1,4,0,2,4,3,23,1,1,2,1,1,0,1
0,18,3,4,5866,0,0,2,3,2,2,0,30,1,1,2,1,1,1,1
2,21,3,4,2923,0,0,1,0,2,1,0,28,0,1,1,0,1,1,1
0,18,3,6,3213,1,2,1,2,2,3,3,25,1,2,1,1,1,0,1
3,24,1,7,2058,2,0,4,1,2,2,3,33,1,1,2,1,1,1,1
1,30,1,9,6187,0,1,1,2,2,4,0,24,1,2,2,1,1,0,1
3,24,3,6,5943,4,2,1,0,2,1,0,44,1,1,2,1,1,1,1
0,30,2,0,2503,0,3,4,3,2,2,1,41,2,1,2,1,1,0,1
3,24,2,3,4151,0,0,2,3,2,3,1,35,1,1,2,1,1,0,1
3,9,3,6,2697,2,0,1,3,2,2,3,32,1,1,1,1,2,0,1
3,24,3,4,3757,2,3,4,0,0,4,2,62,1,0,1,1,1,1,1
0,12,3,9,2028,4,0,4,3,2,2,0,30,1,1,1,1,1,0,1
1,12,1,3,2246,2,3,3,3,2,3,1,60,1,1,2,1,1,0,1
1,20,1,4,2235,2,0,4,2,1,2,1,33,0,2,2,1,1,0,0
1,6,1,6,1957,2,1,1,0,2,4,0,31,1,1,1,1,1,0,1
0,27,3,0,2528,2,2,4,0,2,1,1,32,1,1,1,1,2,1,1
3,18,1,9,3229,4,4,2,3,2,4,2,38,1,1,1,0,1,1,1
1,18,3,6,1936,4,1,2,2,2,4,0,23,1,2,2,3,1,0,1
3,12,4,3,2759,2,3,2,3,2,4,1,34,1,1,2,1,1,0,1
1,12,4,6,6199,2,0,4,3,2,2,1,28,1,2,2,1,1,1,1
3,24,3,6,2284,2,1,4,3,2,2,0,28,1,1,1,1,1,1,1
1,30,3,3,2406,2,1,4,0,2,4,3,23,1,2,1,1,1,0,1
3,15,2,9,3594,2,2,1,0,2,2,1,46,1,1,2,3,1,0,1
1,8,1,4,3398,2,1,1,3,2,4,3,39,1,1,2,3,1,0,0
0,24,3,4,1201,2,2,4,3,2,1,1,26,1,1,1,1,1,0,1
3,48,2,6,7238,4,3,3,3,2,3,0,32,0,1,2,1,2,0,1
1,12,3,3,1289,2,0,4,3,1,1,1,21,1,1,1,3,1,0,1
1,36,3,3,5179,2,1,4,3,2,2,1,29,1,1,1,1,1,0,1
0,36,3,2,12612,0,0,1,3,2,4,2,47,1,0,1,1,2,1,1
3,30,3,6,1867,4,3,4,3,2,4,0,58,1,1,1,1,1,1,1
1,18,3,4,4380,0,0,3,3,2,4,0,35,1,1,1,3,2,1,1
0,8,3,3,1237,2,0,3,0,2,4,3,24,1,1,1,1,1,0,1
3,12,3,3,1123,1,0,4,0,2,4,0,29,1,2,1,3,1,0,1
1,18,3,3,4153,2,0,2,3,0,3,0,42,1,1,1,1,1,0,1
1,24,0,0,3161,2,0,4,3,2,2,1,31,1,2,1,1,1,1,1
0,36,3,7,2384,2,2,4,3,2,1,2,33,1,2,1,3,1,0,1
3,12,1,6,522,1,3,4,3,2,4,1,42,1,1,2,1,2,1,1
3,15,3,1,874,4,2,4,0,2,1,3,24,1,1,1,1,1,0,1
1,12,0,6,2149,2,0,4,1,2,1,2,29,1,0,1,1,1,0,1
1,11,1,4,3905,2,0,2,3,2,2,3,36,1,2,2,1,2,0,1
3,12,1,4,1163,1,0,4,3,2,4,3,44,1,1,1,1,1,1,1
3,12,1,6,930,4,3,4,3,2,4,3,65,1,1,4,1,1,0,1
1,12,3,4,1274,2,2,3,0,2,1,3,37,1,1,1,3,1,0,1
3,12,3,0,1542,2,1,2,3,2,4,0,36,1,1,1,1,1,1,1
0,18,3,0,1913,3,2,3,2,2,3,3,36,0,1,1,1,1,1,1
3,6,0,4,783,4,0,1,3,1,2,3,26,2,1,1,3,2,0,1
0,24,3,6,2896,0,2,2,3,2,1,0,29,1,1,1,1,1,0,1
1,12,3,8,902,2,1,4,2,2,4,1,21,1,2,1,1,1,0,1
